Song;Tempo;Articulation;Mode;Intensity;Tonalness;Pitch;Melody;Rhytmic Clarity;Rhythmic Complexity
1;5,67;4;7;4,67;8,67;6;8;8,67;4
2;5;7;3;3,67;7,67;5,67;8,67;7,67;4
3;4,67;6,33;3;6,33;7,33;2,67;5,33;8,33;3
4;6,67;5;2,67;6;7,67;5,33;8,67;7,33;5,67
5;2;9,67;6,67;6;9;6,33;7,67;1,67;1,67
6;7;6,67;4,67;5,67;6;7,33;7,67;4,67;7
7;5;7,33;4,67;4,33;6;5,67;8;8;6
8;4,33;7,67;5,67;6;6;7,33;8,67;7,33;5,33
9;6,33;5,33;3,67;7;7,33;7;9;7,67;3,67
10;4,33;6,67;1,67;7,33;7;6,33;8;8;2
11;3;8,33;4,67;2,67;7,33;7;7,67;2;6
12;6,33;4;5;8,33;6,67;5;6,67;7,67;8,67
13;2,67;9,33;4,67;6;9;7;9;4,67;4,67
14;7,33;6,33;5,33;8,00;2,33;6,67;3,00;3,67;8,67
15;6,33;5,33;7,67;7,33;8,33;6;7,67;8,33;5
